No,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
3534082,201,TRANSFER,216473.96,*,436241.04,120138.04,*,1228810.77,1347960.2,0,0
3045726,232,CASH_IN,143104.98,*,499659.55,527732.57,*,918993.43,741624.58,0,0
4415713,308,CASH_OUT,145160.33,*,460562.0,206205.33,*,1038719.16,1117992.93,0,0
6010794,498,CASH_IN,30397.51,*,7509.0,100272.59,*,1139188.62,1039336.1,0,0
4297604,307,CASH_OUT,221945.85,*,458996.0,126644.15,*,1192933.59,1812992.57,0,0
2844108,228,CASH_IN,305851.52,*,8975.0,359861.58,*,1058952.96,636796.23,0,0
893546,40,CASH_IN,245627.38,*,844671.81,1031054.13,*,418702.6,390460.09,0,0
4683977,318,CASH_IN,249272.66,*,168333.48,380576.08,*,877331.63,761244.37,0,0
4789677,335,CASH_OUT,206519.67,*,0.0,0.0,*,1145414.05,1440771.27,0,0
6210021,562,CASH_OUT,153368.24,*,574986.86,649674.48,*,1394813.3,1489064.94,0,0
6163567,667,CASH_OUT,147296.7,*,86565.7,0.0,*,931237.59,986577.14,0,0
4920217,351,CASH_IN,176743.05,*,717012.06,980255.04,*,1762620.61,1561656.52,0,0
4961425,350,CASH_OUT,258268.96,*,399613.49,0.0,*,429615.56,350195.58,1,0
1549785,143,CASH_OUT,83069.37,*,524255.11,565921.78,*,1160942.49,1541516.72,0,0
1366864,140,CASH_OUT,94887.01,*,264940.0,155961.01,*,1357680.12,1411583.65,0,0
1231287,131,CASH_OUT,65307.17,*,87975.67,0.0,*,252860.0,219341.95,1,0
580548,91,CASH_IN,132398.97,*,622651.0,674747.77,*,520355.02,582116.92,0,0
2230015,186,CASH_IN,74109.1,*,410245.0,417328.8,*,510052.87,536107.17,0,0
3548871,260,CASH_IN,237996.76,*,1040779.68,1369208.56,*,1117433.86,792626.67,0,0
2915787,230,CASH_OUT,68171.67,*,452757.12,429446.75,*,1363803.51,1267775.05,0,0
5836166,403,CASH_OUT,127221.99,*,213549.0,103898.91,*,1403600.53,1249015.46,0,0
180967,2,CASH_OUT,190.63,*,21382.39,0.0,*,36222.0,106499.37,1,0
4873666,345,CASH_IN,380582.93,*,714380.46,1102527.4,*,1701850.69,1325718.36,0,0
